t,sx,sy,valid,aoi
0,435.71,753.313,1,am_activity
17,407.989,774.679,1,am_distractors
33,357.503,759.876,1,am_bg
50,298.299,738.793,1,am_a1body
67,,,0,invalid
83,265.923,699.197,1,am_activity
100,336.831,626.853,1,am_distractors
117,325.446,601.462,1,am_activity
133,377.345,647.274,1,am_a1body
150,416.307,623.726,1,am_activity
167,407.896,691.693,1,am_distractors
183,492.829,742.738,1,am_a1body
200,503.638,754.763,1,am_distractors
217,564.536,769.202,1,am_activity
233,620.749,781.188,1,am_bg
250,637.439,787.976,1,am_bg
267,667.672,772.41,1,am_bg
283,692.791,761.777,1,am_bg
300,646.734,716.302,1,am_distractors
317,649.04,622.372,1,am_bg
333,692.279,669.296,1,am_distractors
350,753.708,675.98,1,am_a1body
367,724.702,676.244,1,am_bg
383,745.987,693.179,1,am_distractors
400,752.06,657.971,1,am_bg
417,747.316,615.424,1,am_bg
433,761.645,603.367,1,am_bg
450,770.419,661.513,1,am_distractors
467,792.211,611.84,1,am_activity
483,850.24,500.186,1,am_bg
500,881.801,478.025,1,am_bg
517,894.302,526.592,1,am_a1body
533,,,0,invalid
550,1014.028,402.792,1,am_activity
567,1010.309,413.993,1,am_distractors
583,961.32,523.218,1,am_a1body
600,921.56,465.492,1,am_bg
617,959.122,406.12,1,am_a1body
633,933.752,420.516,1,am_a1body
650,893.178,471.716,1,am_bg
667,862.665,445.191,1,am_activity
683,834.998,376.279,1,am_activity
700,869.236,394.714,1,am_a1body
717,862.928,420.846,1,am_bg
733,807.689,496.441,1,am_distractors
750,808.939,524.363,1,am_a1body
767,817.885,559.557,1,am_distractors
783,798.592,548.415,1,am_a1body
800,845.116,652.183,1,am_a1body
817,828.174,635.261,1,am_bg
833,872.784,609.254,1,am_bg
850,896.805,686.161,1,am_distractors
867,934.1,623.503,1,am_distractors
883,,,0,invalid
900,893.841,550.067,1,am_activity
917,891.714,549.993,1,am_bg
933,834.479,540.308,1,am_a1body
950,878.957,582.551,1,am_a1body
967,846.057,543.951,1,am_activity
983,821.522,546.678,1,am_bg
1000,780.736,531.373,1,am_a1body
1017,808.959,493.495,1,am_activity
1033,747.54,490.867,1,am_activity
1050,772.41,527.103,1,am_a1body
1067,814.451,617.231,1,am_a1body
1083,836.073,641.857,1,am_distractors
1100,864.756,535.143,1,am_bg
1117,895.328,533.522,1,am_distractors
1133,857.113,535.638,1,am_activity
1150,914.861,575.429,1,am_a1body
1167,896.343,583.283,1,am_distractors
1183,893.671,636.542,1,am_activity
1200,880.283,653.188,1,am_bg
1217,900.067,719.439,1,am_a1body
1233,878.411,700.792,1,am_distractors
1250,881.104,706.927,1,am_bg
1267,831.382,742.06,1,am_distractors
1283,878.26,717.741,1,am_activity
1300,905.257,684.165,1,am_bg
1317,893.494,657.416,1,am_distractors
1333,874.61,625.573,1,am_bg
1350,900.557,647.783,1,am_activity
1367,872.088,569.801,1,am_bg
1383,877.134,503.67,1,am_distractors
1400,923.88,582.839,1,am_activity
1417,891.227,552.022,1,am_a1body
1433,906.063,560.523,1,am_distractors
1450,918.771,497.232,1,am_distractors
1467,914.853,501.232,1,am_activity
1483,894.576,470.673,1,am_activity
1500,943.472,404.239,1,am_a1body
1517,919.419,461.061,1,am_distractors
1533,846.485,511.321,1,am_activity
1550,872.266,506.759,1,am_a1body
1567,823.914,549.236,1,am_a1body
1583,851.762,630.128,1,am_activity
1600,905.492,662.178,1,am_distractors
1617,930.839,682.565,1,am_bg
1633,973.964,691.02,1,am_bg
1650,1055.271,718.625,1,am_a1body
1667,1094.183,703.158,1,am_bg
1683,1107.488,691.401,1,am_bg
1700,1173.255,710.564,1,am_activity
1717,1243.884,690.424,1,am_a1body
1733,1315.077,674.877,1,am_distractors
1750,1295.269,674.885,1,am_a1body
1767,1240.769,723.788,1,am_activity
1783,1218.503,675.648,1,am_bg
1800,1246.825,707.914,1,am_distractors
1817,1253.231,741.566,1,am_a1body
1833,1244.92,774.965,1,am_bg
1850,1267.48,740.677,1,am_a1body
1867,1208.28,668.735,1,am_distractors
1883,1213.962,692.523,1,am_a1body
1900,1258.98,700.494,1,am_a1body
1917,1281.09,743.182,1,am_a1body
1933,1308.935,713.408,1,am_bg
1950,1373.229,745.714,1,am_distractors
1967,1370.567,790.528,1,am_distractors
1983,1344.28,786.477,1,am_bg
2000,1392.158,804.197,1,am_bg
2017,1439.296,820.431,1,am_bg
2033,1461.767,785.518,1,am_activity
2050,,,0,invalid
2067,1455.367,877.049,1,am_a1body
2083,1403.977,877.992,1,am_a1body
2100,1448.773,815.901,1,am_distractors
2117,,,0,invalid
2133,1439.354,711.064,1,am_a1body
2150,1474.276,765.902,1,am_activity
2167,1490.541,798.378,1,am_bg
2183,1449.406,777.069,1,am_distractors
2200,1400.865,716.799,1,am_distractors
2217,1415.898,681.383,1,am_a1body
2233,1399.89,654.255,1,am_distractors
2250,1473.143,658.905,1,am_bg
2267,1511.485,662.125,1,am_distractors
2283,1530.552,719.138,1,am_bg
2300,1551.606,689.695,1,am_activity
2317,1605.173,625.595,1,am_activity
2333,1639.245,576.421,1,am_bg
2350,1659.361,575.443,1,am_a1body
2367,1619.905,544.473,1,am_distractors
2383,1743.149,532.062,1,offscreen
2400,1698.746,512.765,1,offscreen
2417,1686.166,554.852,1,offscreen
2433,1619.563,529.905,1,am_a1body
2450,1641.25,513.867,1,am_distractors
2467,1647.332,544.353,1,am_activity
2483,1678.134,520.34,1,am_activity
2500,1608.137,538.327,1,am_activity
2517,1652.931,552.416,1,am_distractors
2533,1620.432,558.441,1,am_activity
2550,1614.434,510.228,1,am_activity
2567,1651.93,562.495,1,am_activity
2583,1662.446,656.877,1,am_activity
2600,1675.807,657.252,1,am_a1body
2617,1707.974,612.781,1,offscreen
2633,1725.233,614.018,1,offscreen
2650,1711.503,656.088,1,offscreen
2667,1704.803,629.942,1,offscreen
2683,1713.331,624.463,1,offscreen
2700,,,0,invalid
2717,1717.374,690.073,1,offscreen
2733,1728.992,723.03,1,offscreen
2750,1732.002,757.748,1,offscreen
2767,1780.0,739.631,1,offscreen
2783,1775.165,756.713,1,offscreen
2800,1767.823,726.028,1,offscreen
2817,1748.317,761.965,1,offscreen
2833,1762.125,810.893,1,offscreen
2850,1774.54,834.412,1,offscreen
2867,1747.722,818.796,1,offscreen
2883,1740.57,810.138,1,offscreen
2900,1714.021,886.917,1,offscreen
2917,1685.65,872.012,1,offscreen
2933,1616.022,916.638,1,am_activity
2950,1606.728,931.041,1,am_activity
2967,1538.214,916.84,1,am_a1body
2983,1519.585,859.691,1,am_a1body
3000,1494.924,868.684,1,am_distractors
3017,1537.263,872.556,1,am_bg
3033,1496.412,949.336,1,am_activity
3050,1465.774,912.777,1,am_activity
3067,1450.418,1010.308,1,am_activity
3083,1427.067,1026.408,1,am_distractors
3100,1482.18,1042.466,1,am_activity
3117,1436.352,1017.26,1,am_bg
3133,1421.081,1030.635,1,am_a1body
3150,1434.447,1050.741,1,offscreen
3167,1469.915,1090.579,1,offscreen
3183,1454.61,1048.998,1,am_distractors
3200,,,0,invalid
3217,1371.365,1124.149,1,offscreen
3233,1425.784,1150.0,1,offscreen
3250,1437.142,1140.61,1,offscreen
3267,1446.658,1101.162,1,offscreen
3283,1403.871,1104.253,1,offscreen
3300,1356.953,1112.213,1,offscreen
3317,1357.679,1053.331,1,offscreen
3333,,,0,invalid
3350,1331.717,1129.4,1,offscreen
3367,1297.64,1098.388,1,offscreen
3383,1296.647,1054.927,1,offscreen
3400,1220.745,1042.051,1,am_a1body
3417,1204.895,1043.066,1,am_activity
3433,1157.164,1031.839,1,am_activity
3450,1063.705,1029.249,1,am_activity
3467,1085.514,1038.663,1,am_bg
3483,1151.571,980.509,1,am_bg
3500,1197.032,927.242,1,am_distractors
3517,1224.47,811.541,1,am_a1body
3533,1207.802,851.601,1,am_activity
3550,1240.239,852.248,1,am_activity
3567,1289.499,896.783,1,am_activity
3583,1295.006,848.428,1,am_activity
3600,1247.336,849.465,1,am_bg
3617,1227.235,858.595,1,am_a1body
3633,1295.769,834.719,1,am_a1body
3650,1292.76,768.696,1,am_distractors
3667,1158.939,842.898,1,am_bg
3683,1099.815,902.37,1,am_activity
3700,1082.731,886.137,1,am_a1body
3717,,,0,invalid
3733,1113.43,887.218,1,am_a1body
3750,1155.87,844.912,1,am_bg
3767,1134.692,922.573,1,am_distractors
3783,,,0,invalid
3800,1035.844,840.083,1,am_distractors
3817,1049.728,843.667,1,am_activity
3833,1060.272,913.847,1,am_distractors
3850,1009.754,951.954,1,am_a1body
3867,995.618,880.88,1,am_distractors
3883,1103.676,880.764,1,am_activity
3900,1054.037,881.659,1,am_a1body
3917,1080.631,871.954,1,am_distractors
3933,,,0,invalid
3950,1031.008,838.408,1,am_distractors
3967,,,0,invalid
3983,,,0,invalid
4000,959.292,870.273,1,am_bg
4017,970.999,876.624,1,am_activity
4033,934.425,864.367,1,am_distractors
4050,905.645,859.269,1,am_bg
4067,923.435,890.738,1,am_a1body
4083,906.112,892.178,1,am_bg
4100,921.422,847.898,1,am_bg
4117,913.741,795.473,1,am_distractors
4133,916.457,732.161,1,am_distractors
4150,,,0,invalid
4166,920.284,828.344,1,am_distractors
4183,880.193,823.818,1,am_bg
4200,858.767,804.531,1,am_a1body
4216,906.872,780.138,1,am_activity
4233,911.548,826.602,1,am_bg
4250,877.54,907.544,1,am_distractors
4266,893.703,881.813,1,am_activity
4283,912.553,930.198,1,am_a1body
4300,933.483,931.388,1,am_activity
4316,894.125,922.36,1,am_distractors
4333,866.659,986.291,1,am_bg
4350,839.416,985.859,1,am_bg
4366,824.9,998.455,1,am_distractors
4383,846.592,1009.007,1,am_bg
4400,,,0,invalid
4416,873.616,952.175,1,am_distractors
4433,928.115,928.259,1,am_bg
4450,955.843,867.858,1,am_bg
4466,950.135,845.879,1,am_bg
4483,902.484,823.549,1,am_a1body
4500,873.723,867.321,1,am_a1body
4516,863.19,822.108,1,am_distractors
4533,896.562,788.538,1,am_a1body
4550,895.462,798.543,1,am_distractors
4566,869.05,742.195,1,am_activity
4583,839.551,714.186,1,am_activity
4600,836.751,643.443,1,am_a1body
4616,872.573,682.545,1,am_activity
4633,936.611,669.737,1,am_activity
4650,,,0,invalid
4666,926.528,707.992,1,am_bg
4683,877.667,677.294,1,am_bg
4700,955.72,664.034,1,am_distractors
4716,899.329,619.139,1,am_activity
4733,946.489,574.151,1,am_distractors
4750,931.784,535.025,1,am_distractors
4766,907.659,514.093,1,am_activity
4783,,,0,invalid
4800,959.986,510.006,1,am_a1body
4816,,,0,invalid
4833,969.758,485.713,1,am_activity
4850,1005.449,506.326,1,am_bg
4866,979.253,486.443,1,am_activity
4883,979.327,452.241,1,am_a1body
4900,,,0,invalid
4916,960.981,447.233,1,am_distractors
4933,1009.266,456.598,1,am_distractors
4950,1000.465,523.32,1,am_bg
4966,937.952,526.237,1,am_bg
4983,925.816,499.069,1,am_bg
5000,935.846,461.204,1,am_distractors
5016,899.883,424.984,1,am_bg
5033,,,0,invalid
5050,845.108,402.458,1,am_activity
5066,894.263,307.54,1,am_distractors
5083,874.655,328.285,1,am_a1body
5100,932.177,291.391,1,am_distractors
5116,,,0,invalid
5133,920.507,231.447,1,am_activity
5150,902.546,292.899,1,am_activity
5166,932.898,293.592,1,am_bg
5183,887.887,327.184,1,am_distractors
5200,917.787,382.459,1,am_distractors
5216,922.37,389.404,1,am_distractors
5233,896.611,338.588,1,am_a1body
5250,889.92,329.21,1,am_bg
5266,951.658,297.664,1,am_activity
5283,957.206,276.264,1,am_activity
5300,928.921,272.242,1,am_bg
5316,880.433,266.541,1,am_activity
