t,sx,sy,valid,aoi
0,774.29,-155.083,1,offscreen
17,,,0,invalid
33,804.665,-133.482,1,offscreen
50,895.477,-130.324,1,offscreen
67,881.516,-129.556,1,offscreen
83,867.555,-152.028,1,offscreen
100,961.718,-139.696,1,offscreen
117,1007.477,-129.03,1,offscreen
133,979.484,-93.282,1,offscreen
150,1011.835,-98.368,1,offscreen
167,984.203,-94.747,1,offscreen
183,956.433,-90.626,1,offscreen
200,970.86,-64.558,1,offscreen
217,856.779,-66.133,1,offscreen
233,753.928,-61.522,1,offscreen
250,720.401,-51.477,1,offscreen
267,660.01,-48.393,1,offscreen
283,678.747,-55.77,1,offscreen
300,624.605,-52.563,1,offscreen
317,540.394,-34.821,1,offscreen
333,627.786,-51.784,1,offscreen
350,614.323,-49.587,1,offscreen
367,618.35,-61.157,1,offscreen
383,533.397,-41.409,1,offscreen
400,500.938,-66.579,1,offscreen
417,507.552,-75.815,1,offscreen
433,438.922,-69.582,1,offscreen
450,461.324,-43.712,1,offscreen
467,425.51,-44.798,1,offscreen
483,408.117,-53.973,1,offscreen
500,372.24,-22.887,1,offscreen
517,,,0,invalid
533,481.88,-83.15,1,offscreen
550,418.812,-75.879,1,offscreen
567,467.857,-84.175,1,offscreen
583,395.063,-101.051,1,offscreen
600,407.517,-89.346,1,offscreen
617,290.669,-85.317,1,offscreen
633,211.474,-94.638,1,offscreen
650,223.212,-115.795,1,offscreen
667,267.244,-101.378,1,offscreen
683,,,0,invalid
700,270.567,-92.272,1,offscreen
717,252.613,-61.757,1,offscreen
733,164.454,-79.44,1,offscreen
750,121.533,-104.649,1,offscreen
767,94.066,-116.083,1,offscreen
783,157.099,-116.836,1,offscreen
800,177.587,-112.815,1,offscreen
817,72.464,-116.801,1,offscreen
833,91.788,-110.984,1,offscreen
850,68.827,-131.665,1,offscreen
867,28.464,-107.807,1,offscreen
883,64.936,-109.165,1,offscreen
900,126.411,-90.701,1,offscreen
917,181.94,-85.038,1,offscreen
933,131.9,-77.49,1,offscreen
950,113.463,-68.075,1,offscreen
967,133.215,-60.676,1,offscreen
983,191.383,-50.055,1,offscreen
1000,162.812,-28.091,1,offscreen
1017,151.742,-24.844,1,offscreen
1033,85.775,-13.128,1,offscreen
1050,14.45,-14.61,1,offscreen
1067,62.898,9.187,1,am_bg
1083,143.765,-1.99,1,offscreen
1100,139.471,27.77,1,am_distractors
1117,199.308,27.107,1,am_a1body
1133,220.871,3.463,1,am_distractors
1150,182.405,5.58,1,am_bg
1167,203.954,-5.674,1,offscreen
1183,295.661,8.218,1,am_distractors
1200,293.525,-2.567,1,offscreen
1217,386.819,-9.94,1,offscreen
1233,230.613,-41.165,1,offscreen
1250,279.62,-48.639,1,offscreen
1267,284.811,-88.693,1,offscreen
1283,266.982,-114.867,1,offscreen
1300,272.453,-102.301,1,offscreen
1317,153.942,-89.316,1,offscreen
1333,140.844,-82.285,1,offscreen
1350,162.137,-98.265,1,offscreen
1367,250.259,-99.053,1,offscreen
1383,219.356,-99.113,1,offscreen
1400,171.148,-118.255,1,offscreen
1417,141.231,-93.411,1,offscreen
1433,195.813,-78.913,1,offscreen
1450,215.415,-82.564,1,offscreen
1467,183.827,-82.12,1,offscreen
1483,214.431,-78.676,1,offscreen
1500,220.22,-112.416,1,offscreen
1517,277.977,-116.5,1,offscreen
1533,236.116,-127.77,1,offscreen
1550,216.578,-144.322,1,offscreen
1567,193.198,-148.967,1,offscreen
1583,105.934,-119.26,1,offscreen
1600,123.591,-108.67,1,offscreen
1617,139.157,-118.109,1,offscreen
1633,139.462,-108.647,1,offscreen
1650,125.474,-85.523,1,offscreen
1667,41.081,-70.244,1,offscreen
1683,15.999,-69.258,1,offscreen
1700,-4.435,-79.949,1,offscreen
1717,-52.272,-68.411,1,offscreen
1733,-61.889,-61.908,1,offscreen
1750,-37.797,-47.115,1,offscreen
1767,74.669,-36.619,1,offscreen
1783,85.079,-19.275,1,offscreen
1800,100.435,-28.12,1,offscreen
1817,95.996,-6.35,1,offscreen
1833,-18.413,-3.085,1,offscreen
1850,-19.994,31.209,1,offscreen
1867,-16.402,19.82,1,offscreen
1883,130.472,48.506,1,am_bg
1900,119.002,51.777,1,am_bg
1917,136.982,41.012,1,am_a1body
1933,134.912,33.016,1,am_activity
1950,65.228,27.722,1,am_bg
1967,133.371,34.732,1,am_bg
1983,178.206,43.371,1,am_a1body
2000,225.372,33.891,1,am_bg
2017,171.148,33.489,1,am_activity
2033,254.792,68.889,1,am_a1body
2050,171.205,97.437,1,am_activity
2067,206.197,104.647,1,am_activity
2083,336.806,105.275,1,am_a1body
2100,277.744,107.259,1,am_bg
2117,243.977,117.397,1,am_activity
2133,249.919,100.495,1,am_activity
2150,,,0,invalid
2167,127.438,68.669,1,am_activity
2183,131.527,75.266,1,am_activity
2200,68.185,85.961,1,am_a1body
2217,96.424,77.977,1,am_a1body
2233,41.602,103.987,1,am_distractors
2250,134.019,83.731,1,am_distractors
2267,87.316,59.532,1,am_activity
2283,68.113,63.241,1,am_bg
2300,116.62,80.544,1,am_activity
2317,43.228,108.371,1,am_bg
2333,56.791,100.788,1,am_activity
2350,134.731,118.613,1,am_distractors
2367,38.883,117.977,1,am_distractors
2383,49.892,115.124,1,am_bg
2400,,,0,invalid
2417,112.005,140.506,1,am_activity
2433,38.25,114.457,1,am_bg
2450,-40.484,138.856,1,offscreen
2467,-9.363,161.662,1,offscreen
2483,,,0,invalid
2500,23.281,157.865,1,am_distractors
2517,43.939,166.029,1,am_activity
2533,3.392,170.337,1,am_activity
2550,17.24,161.243,1,am_bg
2567,34.715,150.145,1,am_a1body
2583,-7.879,149.722,1,offscreen
2600,103.37,169.101,1,am_bg
2617,,,0,invalid
2633,60.59,171.96,1,am_distractors
2650,99.738,184.712,1,am_distractors
2667,41.621,137.64,1,am_distractors
2683,88.552,156.624,1,am_distractors
2700,157.635,127.875,1,am_distractors
2717,108.7,121.886,1,am_a1body
2733,166.143,103.383,1,am_activity
2750,190.756,81.989,1,am_bg
2767,239.772,101.171,1,am_bg
2783,352.871,93.443,1,am_distractors
2800,338.239,99.169,1,am_bg
2817,293.297,98.393,1,am_distractors
2833,240.258,106.276,1,am_a1body
2850,191.614,107.546,1,am_a1body
2867,187.017,86.344,1,am_activity
2883,207.359,102.808,1,am_a1body
2900,223.857,94.648,1,am_a1body
2917,273.179,68.926,1,am_activity
2933,273.954,61.851,1,am_bg
2950,360.623,86.651,1,am_distractors
2967,344.842,100.701,1,am_distractors
2983,507.036,94.94,1,am_bg
3000,544.342,89.168,1,am_activity
3017,493.233,83.853,1,am_bg
3033,429.38,118.171,1,am_a1body
3050,458.148,124.483,1,am_activity
3067,444.823,131.589,1,am_activity
3083,487.397,148.615,1,am_activity
3100,515.614,152.561,1,am_distractors
3117,511.272,148.28,1,am_bg
3133,460.78,145.035,1,am_activity
3150,370.456,143.852,1,am_activity
3167,,,0,invalid
3183,394.895,155.261,1,am_activity
3200,407.661,156.119,1,am_bg
3217,333.382,168.226,1,am_distractors
3233,343.708,166.892,1,am_a1body
3250,366.684,168.192,1,am_distractors
3267,313.982,135.172,1,am_activity
